2025-10-23,20:57:40,MONITOR,CPU Usage: 5.2%, RAM Usage: 71.7%
2025-10-23,20:57:46,MONITOR,CPU Usage: 9.5%, RAM Usage: 72.3%
2025-10-23,20:57:52,MONITOR,CPU Usage: 7.2%, RAM Usage: 72.2%
2025-10-23,20:57:58,MONITOR,CPU Usage: 7.0%, RAM Usage: 72.4%
2025-10-23,20:58:04,MONITOR,CPU Usage: 15.7%, RAM Usage: 72.8%
2025-10-23,20:58:10,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.8%
2025-10-23,20:58:16,MONITOR,CPU Usage: 18.3%, RAM Usage: 72.9%
2025-10-23,20:58:22,MONITOR,CPU Usage: 4.2%, RAM Usage: 72.9%
2025-10-23,20:58:28,MONITOR,CPU Usage: 7.5%, RAM Usage: 73.0%
2025-10-23,20:58:34,MONITOR,CPU Usage: 8.2%, RAM Usage: 73.2%
2025-10-23,20:58:40,MONITOR,CPU Usage: 4.0%, RAM Usage: 73.1%
2025-10-23,20:58:46,MONITOR,CPU Usage: 6.0%, RAM Usage: 73.3%
2025-10-23,20:58:52,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.7%
2025-10-23,20:58:58,MONITOR,CPU Usage: 4.3%, RAM Usage: 72.6%
2025-10-23,20:59:04,MONITOR,CPU Usage: 17.6%, RAM Usage: 72.7%
2025-10-23,20:59:10,MONITOR,CPU Usage: 16.5%, RAM Usage: 72.1%
2025-10-23,20:59:16,MONITOR,CPU Usage: 5.5%, RAM Usage: 72.2%
2025-10-23,20:59:22,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.2%
2025-10-23,20:59:28,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.3%
2025-10-23,20:59:34,MONITOR,CPU Usage: 5.0%, RAM Usage: 72.3%
2025-10-23,20:59:40,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.5%
2025-10-23,20:59:46,MONITOR,CPU Usage: 10.7%, RAM Usage: 73.0%
2025-10-23,20:59:52,MONITOR,CPU Usage: 3.2%, RAM Usage: 73.1%
2025-10-23,20:59:58,MONITOR,CPU Usage: 11.0%, RAM Usage: 73.6%
2025-10-23,21:00:04,MONITOR,CPU Usage: 19.6%, RAM Usage: 73.1%
2025-10-23,21:00:10,MONITOR,CPU Usage: 5.0%, RAM Usage: 73.1%
2025-10-23,21:00:16,MONITOR,CPU Usage: 20.8%, RAM Usage: 73.1%
2025-10-23,21:00:23,MONITOR,CPU Usage: 6.3%, RAM Usage: 72.5%
2025-10-23,21:00:29,MONITOR,CPU Usage: 5.7%, RAM Usage: 72.6%
2025-10-23,21:00:35,MONITOR,CPU Usage: 24.9%, RAM Usage: 72.6%
2025-10-23,21:00:41,MONITOR,CPU Usage: 4.8%, RAM Usage: 72.4%
2025-10-23,21:00:47,MONITOR,CPU Usage: 18.5%, RAM Usage: 72.1%
2025-10-23,21:00:53,MONITOR,CPU Usage: 4.0%, RAM Usage: 72.6%
2025-10-23,21:00:59,MONITOR,CPU Usage: 13.3%, RAM Usage: 72.5%
2025-10-23,21:01:05,MONITOR,CPU Usage: 18.2%, RAM Usage: 72.2%
2025-10-23,21:01:11,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.1%
2025-10-23,21:01:17,MONITOR,CPU Usage: 4.6%, RAM Usage: 71.5%
2025-10-23,21:01:23,MONITOR,CPU Usage: 21.3%, RAM Usage: 72.1%
2025-10-23,21:01:29,MONITOR,CPU Usage: 22.0%, RAM Usage: 72.2%
2025-10-23,21:01:35,MONITOR,CPU Usage: 5.4%, RAM Usage: 71.2%
2025-10-23,21:01:41,MONITOR,CPU Usage: 7.8%, RAM Usage: 72.1%
2025-10-23,21:01:41,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:01:47,MONITOR,CPU Usage: 10.7%, RAM Usage: 71.5%
2025-10-23,21:01:47,INPUT,User_Input_LogLines: 40
2025-10-23,21:01:53,MONITOR,CPU Usage: 12.2%, RAM Usage: 71.7%
2025-10-23,21:01:59,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.5%
2025-10-23,21:01:59,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:02:03,INPUT,User_Input_LogLines: 300
2025-10-23,21:02:05,MONITOR,CPU Usage: 6.2%, RAM Usage: 71.6%
2025-10-23,21:02:10,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:02:11,MONITOR,CPU Usage: 14.3%, RAM Usage: 70.7%
2025-10-23,21:02:12,INPUT,User_Input_LogLines: 1000
2025-10-23,21:02:17,MONITOR,CPU Usage: 21.6%, RAM Usage: 71.0%
2025-10-23,21:02:23,MONITOR,CPU Usage: 14.6%, RAM Usage: 71.2%
2025-10-23,21:02:29,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.3%
2025-10-23,21:02:35,MONITOR,CPU Usage: 25.4%, RAM Usage: 71.4%
2025-10-23,21:02:41,MONITOR,CPU Usage: 21.2%, RAM Usage: 70.7%
2025-10-23,21:02:47,MONITOR,CPU Usage: 8.5%, RAM Usage: 70.8%
2025-10-23,21:02:51,INPUT,User_Input_MenuChoice: 220
2025-10-23,21:02:53,MONITOR,CPU Usage: 6.3%, RAM Usage: 70.9%
2025-10-23,21:02:56,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:02:59,MONITOR,CPU Usage: 14.8%, RAM Usage: 70.9%
2025-10-23,21:02:59,INPUT,User_Input_LogLines: 230
2025-10-23,21:03:05,MONITOR,CPU Usage: 7.3%, RAM Usage: 71.0%
2025-10-23,21:03:07,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:03:10,INPUT,User_Input_LogLines: 220
2025-10-23,21:03:11,MONITOR,CPU Usage: 13.4%, RAM Usage: 71.4%
2025-10-23,21:03:17,MONITOR,CPU Usage: 8.0%, RAM Usage: 71.3%
2025-10-23,21:03:20,INPUT,User_Input_MenuChoice: 61000
2025-10-23,21:03:23,MONITOR,CPU Usage: 6.5%, RAM Usage: 70.8%
2025-10-23,21:03:29,MONITOR,CPU Usage: 8.0%, RAM Usage: 70.9%
2025-10-23,21:03:30,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:03:35,MONITOR,CPU Usage: 19.5%, RAM Usage: 71.1%
2025-10-23,21:03:36,INPUT,User_Input_LogLines: 61000
2025-10-23,21:03:41,MONITOR,CPU Usage: 6.0%, RAM Usage: 70.8%
2025-10-23,21:03:46,INPUT,User_Input_MenuChoice: 6
2025-10-23,21:03:47,MONITOR,CPU Usage: 11.5%, RAM Usage: 71.0%
2025-10-23,21:03:49,INPUT,User_Input_LogLines: 6000
2025-10-23,21:03:53,MONITOR,CPU Usage: 6.5%, RAM Usage: 70.8%
2025-10-23,21:03:59,MONITOR,CPU Usage: 18.4%, RAM Usage: 70.7%
2025-10-23,21:04:05,INPUT,User_Input_MenuChoice: 6666666
2025-10-23,21:04:05,MONITOR,CPU Usage: 13.5%, RAM Usage: 71.0%
2025-10-23,21:04:11,MONITOR,CPU Usage: 20.1%, RAM Usage: 70.6%
2025-10-23,21:04:17,MONITOR,CPU Usage: 10.3%, RAM Usage: 71.8%
2025-10-23,21:04:23,MONITOR,CPU Usage: 14.4%, RAM Usage: 71.0%
2025-10-23,21:04:29,MONITOR,CPU Usage: 10.3%, RAM Usage: 70.8%
2025-10-23,21:04:35,MONITOR,CPU Usage: 21.9%, RAM Usage: 70.5%
2025-10-23,21:04:41,MONITOR,CPU Usage: 9.8%, RAM Usage: 70.6%
2025-10-23,21:04:47,MONITOR,CPU Usage: 33.1%, RAM Usage: 70.9%
2025-10-23,21:04:53,MONITOR,CPU Usage: 16.5%, RAM Usage: 71.2%
2025-10-23,21:04:55,INPUT,User_Input_MenuChoice: 6
