Date,Time,Level,Entry
2025-10-23,13:17:24,INFO,Logger initialized and ready.
2025-10-23,13:17:27,INPUT,User_Input_MenuChoice: 1
2025-10-23,13:17:27,INFO,Monitoring process started.
2025-10-23,13:34:45,STATUS,CPU: 22.9%, RAM: 77.1%
2025-10-23,13:34:53,STATUS,CPU: 39.9%, RAM: 78.5%
2025-10-23,13:35:00,STATUS,CPU: 8.5%, RAM: 76.7%
2025-10-23,13:35:07,STATUS,CPU: 5.2%, RAM: 76.8%
2025-10-23,13:35:14,STATUS,CPU: 21.2%, RAM: 76.6%
2025-10-23,13:41:38,STATUS,CPU: 38.4%, RAM: 76.8%
2025-10-23,13:41:45,STATUS,CPU: 74.5%, RAM: 76.5%
2025-10-23,13:41:52,STATUS,CPU: 18.6%, RAM: 76.1%
2025-10-23,13:41:59,STATUS,CPU: 15.1%, RAM: 75.9%
2025-10-23,13:42:06,STATUS,CPU: 10.2%, RAM: 75.8%
2025-10-23,13:42:13,STATUS,CPU: 4.0%, RAM: 75.9%
2025-10-23,13:42:20,STATUS,CPU: 3.5%, RAM: 75.9%
2025-10-23,13:43:43,STATUS,CPU: 81.8%, RAM: 79.7%
2025-10-23,13:43:50,STATUS,CPU: 15.5%, RAM: 74.3%
2025-10-23,13:43:57,STATUS,CPU: 5.5%, RAM: 74.5%
2025-10-23,13:44:04,STATUS,CPU: 6.2%, RAM: 74.1%
2025-10-23,13:44:11,STATUS,CPU: 14.4%, RAM: 74.8%
2025-10-23,13:44:18,STATUS,CPU: 98.3%, RAM: 76.2%
2025-10-23,13:44:25,STATUS,CPU: 27.2%, RAM: 77.1%
2025-10-23,13:44:32,STATUS,CPU: 5.0%, RAM: 76.0%
2025-10-23,13:44:39,STATUS,CPU: 4.5%, RAM: 75.1%
2025-10-23,13:44:46,STATUS,CPU: 71.7%, RAM: 75.8%
2025-10-23,13:44:53,STATUS,CPU: 22.5%, RAM: 75.5%
2025-10-23,13:45:00,STATUS,CPU: 3.7%, RAM: 75.5%
2025-10-23,13:45:44,STATUS,CPU: 28.2%, RAM: 74.1%
2025-10-23,13:45:51,STATUS,CPU: 39.0%, RAM: 76.7%
2025-10-23,13:45:58,STATUS,CPU: 7.7%, RAM: 71.9%
2025-10-23,13:46:05,STATUS,CPU: 7.0%, RAM: 71.1%
2025-10-23,13:46:12,STATUS,CPU: 6.5%, RAM: 71.4%
2025-10-23,13:46:19,STATUS,CPU: 3.0%, RAM: 71.9%
2025-10-23,13:46:26,STATUS,CPU: 4.9%, RAM: 71.8%
2025-10-23,13:46:33,STATUS,CPU: 5.5%, RAM: 72.0%
2025-10-23,13:46:40,STATUS,CPU: 18.5%, RAM: 73.1%
2025-10-23,13:46:47,STATUS,CPU: 5.3%, RAM: 73.8%
2025-10-23,13:46:54,STATUS,CPU: 7.5%, RAM: 72.9%
2025-10-23,13:47:01,STATUS,CPU: 2.8%, RAM: 73.1%
2025-10-23,13:47:08,STATUS,CPU: 5.0%, RAM: 72.8%
2025-10-23,13:47:15,STATUS,CPU: 3.5%, RAM: 72.9%
2025-10-23,13:47:22,STATUS,CPU: 3.0%, RAM: 73.0%
2025-10-23,13:47:29,STATUS,CPU: 8.3%, RAM: 72.9%
2025-10-23,13:47:36,STATUS,CPU: 24.3%, RAM: 73.9%
2025-10-23,13:47:43,STATUS,CPU: 42.6%, RAM: 74.3%
2025-10-23,13:47:50,STATUS,CPU: 5.5%, RAM: 74.0%
2025-10-23,13:47:57,STATUS,CPU: 32.9%, RAM: 74.2%
2025-10-23,13:48:04,STATUS,CPU: 5.2%, RAM: 74.1%
2025-10-23,13:48:11,STATUS,CPU: 4.0%, RAM: 74.6%
2025-10-23,13:48:18,STATUS,CPU: 6.0%, RAM: 75.1%
2025-10-23,13:48:25,STATUS,CPU: 19.3%, RAM: 76.1%
2025-10-23,13:48:32,STATUS,CPU: 22.1%, RAM: 75.4%
2025-10-23,13:48:39,STATUS,CPU: 6.0%, RAM: 75.4%
2025-10-23,13:48:46,STATUS,CPU: 16.7%, RAM: 75.7%
2025-10-23,13:48:53,STATUS,CPU: 10.0%, RAM: 75.5%
2025-10-23,13:49:00,STATUS,CPU: 4.5%, RAM: 75.6%
2025-10-23,13:49:07,STATUS,CPU: 38.6%, RAM: 70.2%
2025-10-23,13:49:14,STATUS,CPU: 13.6%, RAM: 71.0%
2025-10-23,13:49:21,STATUS,CPU: 5.0%, RAM: 70.5%
2025-10-23,13:49:28,STATUS,CPU: 5.2%, RAM: 70.6%
2025-10-23,13:49:35,STATUS,CPU: 4.7%, RAM: 70.7%
2025-10-23,13:49:42,STATUS,CPU: 17.0%, RAM: 70.8%
2025-10-23,13:49:49,STATUS,CPU: 8.7%, RAM: 71.2%
2025-10-23,13:49:56,STATUS,CPU: 4.2%, RAM: 71.5%
2025-10-23,13:50:03,STATUS,CPU: 11.8%, RAM: 71.7%
2025-10-23,13:50:10,STATUS,CPU: 3.5%, RAM: 71.7%
2025-10-23,13:50:17,STATUS,CPU: 6.9%, RAM: 71.9%
2025-10-23,13:50:24,STATUS,CPU: 4.3%, RAM: 71.9%
2025-10-23,13:50:31,STATUS,CPU: 4.3%, RAM: 71.9%
2025-10-23,13:50:38,STATUS,CPU: 3.5%, RAM: 71.9%
2025-10-23,13:50:45,STATUS,CPU: 7.5%, RAM: 72.7%
2025-10-23,13:50:52,STATUS,CPU: 14.8%, RAM: 72.0%
2025-10-23,13:50:59,STATUS,CPU: 4.0%, RAM: 72.3%
2025-10-23,13:51:06,STATUS,CPU: 20.5%, RAM: 72.2%
2025-10-23,13:51:13,STATUS,CPU: 13.7%, RAM: 72.4%
2025-10-23,13:51:20,STATUS,CPU: 10.8%, RAM: 73.0%
2025-10-23,13:51:27,STATUS,CPU: 4.0%, RAM: 72.7%
2025-10-23,13:51:34,STATUS,CPU: 22.0%, RAM: 72.7%
2025-10-23,13:51:41,STATUS,CPU: 6.2%, RAM: 72.9%
2025-10-23,13:51:48,STATUS,CPU: 15.9%, RAM: 72.7%
2025-10-23,13:51:55,STATUS,CPU: 7.2%, RAM: 72.7%
2025-10-23,13:52:02,STATUS,CPU: 6.0%, RAM: 72.6%
2025-10-23,13:52:09,STATUS,CPU: 11.8%, RAM: 72.7%
2025-10-23,13:52:16,STATUS,CPU: 18.2%, RAM: 72.9%
2025-10-23,13:52:23,STATUS,CPU: 15.4%, RAM: 72.9%
2025-10-23,13:52:30,STATUS,CPU: 8.0%, RAM: 72.9%
2025-10-23,13:52:37,STATUS,CPU: 9.2%, RAM: 72.9%
2025-10-23,13:52:44,STATUS,CPU: 8.5%, RAM: 73.0%
2025-10-23,13:52:51,STATUS,CPU: 5.7%, RAM: 72.9%
2025-10-23,13:52:58,STATUS,CPU: 7.8%, RAM: 72.9%
2025-10-23,13:53:05,STATUS,CPU: 18.1%, RAM: 72.9%
2025-10-23,13:53:12,STATUS,CPU: 20.9%, RAM: 73.3%
2025-10-23,13:53:19,STATUS,CPU: 12.3%, RAM: 73.1%
2025-10-23,13:53:26,STATUS,CPU: 6.0%, RAM: 73.3%
2025-10-23,13:53:33,STATUS,CPU: 35.6%, RAM: 74.0%
2025-10-23,13:53:40,STATUS,CPU: 20.1%, RAM: 73.4%
2025-10-23,13:53:47,STATUS,CPU: 6.0%, RAM: 73.8%
2025-10-23,13:53:54,STATUS,CPU: 8.3%, RAM: 73.4%
2025-10-23,13:54:01,STATUS,CPU: 3.5%, RAM: 73.7%
2025-10-23,13:54:08,STATUS,CPU: 11.5%, RAM: 74.3%
2025-10-23,13:54:15,STATUS,CPU: 6.5%, RAM: 73.3%
2025-10-23,13:54:22,STATUS,CPU: 4.5%, RAM: 73.5%
2025-10-23,13:54:29,STATUS,CPU: 4.5%, RAM: 73.8%
2025-10-23,13:54:36,STATUS,CPU: 5.0%, RAM: 73.8%
2025-10-23,13:54:44,STATUS,CPU: 4.7%, RAM: 73.8%
2025-10-23,13:54:51,STATUS,CPU: 18.2%, RAM: 73.7%
2025-10-23,13:54:58,STATUS,CPU: 5.0%, RAM: 73.6%
2025-10-23,13:55:05,STATUS,CPU: 4.2%, RAM: 73.7%
2025-10-23,13:55:12,STATUS,CPU: 3.8%, RAM: 73.7%
