2025-10-23,22:24:02,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:24:08,MONITOR,CPU Usage: 48.7%, RAM Usage: 75.7%
2025-10-23,22:24:08,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:24:14,MONITOR,CPU Usage: 49.1%, RAM Usage: 76.0%
2025-10-23,22:24:20,MONITOR,CPU Usage: 40.6%, RAM Usage: 75.9%
2025-10-23,22:24:26,MONITOR,CPU Usage: 21.2%, RAM Usage: 75.2%
2025-10-23,22:24:32,MONITOR,CPU Usage: 9.8%, RAM Usage: 74.2%
2025-10-23,22:24:38,MONITOR,CPU Usage: 23.1%, RAM Usage: 74.8%
2025-10-23,22:24:44,MONITOR,CPU Usage: 40.8%, RAM Usage: 75.8%
2025-10-23,22:24:50,MONITOR,CPU Usage: 39.6%, RAM Usage: 75.5%
2025-10-23,22:24:56,MONITOR,CPU Usage: 12.7%, RAM Usage: 75.6%
2025-10-23,22:25:02,MONITOR,CPU Usage: 4.2%, RAM Usage: 74.2%
2025-10-23,22:25:08,MONITOR,CPU Usage: 6.3%, RAM Usage: 74.1%
2025-10-23,22:25:14,MONITOR,CPU Usage: 3.7%, RAM Usage: 74.2%
2025-10-23,22:25:20,MONITOR,CPU Usage: 11.1%, RAM Usage: 74.6%
2025-10-23,22:25:26,MONITOR,CPU Usage: 11.0%, RAM Usage: 74.6%
2025-10-23,22:25:32,MONITOR,CPU Usage: 22.1%, RAM Usage: 74.6%
2025-10-23,22:25:38,MONITOR,CPU Usage: 10.5%, RAM Usage: 74.6%
2025-10-23,22:25:44,MONITOR,CPU Usage: 26.3%, RAM Usage: 74.2%
2025-10-23,22:25:50,MONITOR,CPU Usage: 13.3%, RAM Usage: 74.3%
2025-10-23,22:25:56,MONITOR,CPU Usage: 6.9%, RAM Usage: 74.0%
2025-10-23,22:26:02,MONITOR,CPU Usage: 10.3%, RAM Usage: 74.4%
2025-10-23,22:26:08,MONITOR,CPU Usage: 4.8%, RAM Usage: 74.4%
2025-10-23,22:26:08,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:26:14,MONITOR,CPU Usage: 12.2%, RAM Usage: 74.3%
2025-10-23,22:26:14,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:26:20,MONITOR,CPU Usage: 22.8%, RAM Usage: 74.3%
2025-10-23,22:26:26,MONITOR,CPU Usage: 14.3%, RAM Usage: 74.1%
2025-10-23,22:26:32,MONITOR,CPU Usage: 32.4%, RAM Usage: 74.2%
2025-10-23,22:26:38,MONITOR,CPU Usage: 13.2%, RAM Usage: 73.9%
2025-10-23,22:26:44,MONITOR,CPU Usage: 19.5%, RAM Usage: 73.9%
2025-10-23,22:26:50,MONITOR,CPU Usage: 5.0%, RAM Usage: 73.9%
2025-10-23,22:26:56,MONITOR,CPU Usage: 10.2%, RAM Usage: 73.8%
2025-10-23,22:27:02,MONITOR,CPU Usage: 11.2%, RAM Usage: 73.6%
2025-10-23,22:27:08,MONITOR,CPU Usage: 8.5%, RAM Usage: 73.9%
2025-10-23,22:27:14,MONITOR,CPU Usage: 11.8%, RAM Usage: 73.6%
2025-10-23,22:27:20,MONITOR,CPU Usage: 5.3%, RAM Usage: 73.7%
2025-10-23,22:27:26,MONITOR,CPU Usage: 22.4%, RAM Usage: 74.0%
2025-10-23,22:27:32,MONITOR,CPU Usage: 37.4%, RAM Usage: 73.9%
2025-10-23,22:27:32,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:27:38,MONITOR,CPU Usage: 39.4%, RAM Usage: 74.0%
2025-10-23,22:27:38,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:27:44,MONITOR,CPU Usage: 41.9%, RAM Usage: 74.8%
2025-10-23,22:27:50,MONITOR,CPU Usage: 18.0%, RAM Usage: 74.0%
2025-10-23,22:27:56,MONITOR,CPU Usage: 11.2%, RAM Usage: 72.9%
2025-10-23,22:28:02,MONITOR,CPU Usage: 13.5%, RAM Usage: 72.4%
2025-10-23,22:28:08,MONITOR,CPU Usage: 11.3%, RAM Usage: 72.3%
2025-10-23,22:28:14,MONITOR,CPU Usage: 3.8%, RAM Usage: 72.4%
2025-10-23,22:28:20,MONITOR,CPU Usage: 23.9%, RAM Usage: 72.8%
2025-10-23,22:28:26,MONITOR,CPU Usage: 14.4%, RAM Usage: 73.0%
2025-10-23,22:28:32,MONITOR,CPU Usage: 4.5%, RAM Usage: 72.7%
2025-10-23,22:28:38,MONITOR,CPU Usage: 13.7%, RAM Usage: 72.7%
2025-10-23,22:28:44,MONITOR,CPU Usage: 8.5%, RAM Usage: 72.9%
2025-10-23,22:28:44,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:28:50,MONITOR,CPU Usage: 8.8%, RAM Usage: 73.8%
2025-10-23,22:28:50,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:28:56,MONITOR,CPU Usage: 10.2%, RAM Usage: 73.2%
2025-10-23,22:29:02,MONITOR,CPU Usage: 17.5%, RAM Usage: 73.6%
2025-10-23,22:29:08,MONITOR,CPU Usage: 18.3%, RAM Usage: 73.4%
2025-10-23,22:29:14,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.4%
2025-10-23,22:29:20,MONITOR,CPU Usage: 6.0%, RAM Usage: 73.3%
2025-10-23,22:29:26,MONITOR,CPU Usage: 9.7%, RAM Usage: 73.4%
2025-10-23,22:29:32,MONITOR,CPU Usage: 14.7%, RAM Usage: 73.9%
2025-10-23,22:29:38,MONITOR,CPU Usage: 10.5%, RAM Usage: 73.4%
2025-10-23,22:29:44,MONITOR,CPU Usage: 14.7%, RAM Usage: 73.7%
2025-10-23,22:29:44,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:29:50,MONITOR,CPU Usage: 23.6%, RAM Usage: 72.9%
2025-10-23,22:29:50,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:29:57,MONITOR,CPU Usage: 48.2%, RAM Usage: 73.0%
2025-10-23,22:30:03,MONITOR,CPU Usage: 42.1%, RAM Usage: 73.3%
2025-10-23,22:30:09,MONITOR,CPU Usage: 9.8%, RAM Usage: 73.2%
2025-10-23,22:30:15,MONITOR,CPU Usage: 20.9%, RAM Usage: 72.8%
2025-10-23,22:30:21,MONITOR,CPU Usage: 5.7%, RAM Usage: 73.0%
2025-10-23,22:30:27,MONITOR,CPU Usage: 7.2%, RAM Usage: 72.3%
2025-10-23,22:30:33,MONITOR,CPU Usage: 4.2%, RAM Usage: 72.3%
2025-10-23,22:30:39,MONITOR,CPU Usage: 10.2%, RAM Usage: 72.6%
2025-10-23,22:30:45,MONITOR,CPU Usage: 6.0%, RAM Usage: 73.0%
2025-10-23,22:30:51,MONITOR,CPU Usage: 7.0%, RAM Usage: 72.7%
2025-10-23,22:30:57,MONITOR,CPU Usage: 22.6%, RAM Usage: 73.1%
2025-10-23,22:31:03,MONITOR,CPU Usage: 5.3%, RAM Usage: 72.7%
2025-10-23,22:31:09,MONITOR,CPU Usage: 13.5%, RAM Usage: 73.0%
2025-10-23,22:31:09,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:31:15,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.5%
2025-10-23,22:31:15,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:31:21,MONITOR,CPU Usage: 13.5%, RAM Usage: 73.9%
2025-10-23,22:31:27,MONITOR,CPU Usage: 6.0%, RAM Usage: 72.0%
2025-10-23,22:31:33,MONITOR,CPU Usage: 22.9%, RAM Usage: 72.8%
2025-10-23,22:31:39,MONITOR,CPU Usage: 14.0%, RAM Usage: 73.1%
2025-10-23,22:31:45,MONITOR,CPU Usage: 12.0%, RAM Usage: 73.1%
2025-10-23,22:31:51,MONITOR,CPU Usage: 40.4%, RAM Usage: 73.2%
2025-10-23,22:31:57,MONITOR,CPU Usage: 42.2%, RAM Usage: 73.1%
2025-10-23,22:32:03,MONITOR,CPU Usage: 40.7%, RAM Usage: 72.7%
2025-10-23,22:32:09,MONITOR,CPU Usage: 5.3%, RAM Usage: 72.2%
2025-10-23,22:32:15,MONITOR,CPU Usage: 12.8%, RAM Usage: 71.6%
2025-10-23,22:32:21,MONITOR,CPU Usage: 21.6%, RAM Usage: 71.7%
2025-10-23,22:32:27,MONITOR,CPU Usage: 7.0%, RAM Usage: 71.4%
2025-10-23,22:32:33,MONITOR,CPU Usage: 26.4%, RAM Usage: 72.9%
2025-10-23,22:32:39,MONITOR,CPU Usage: 9.2%, RAM Usage: 71.7%
2025-10-23,22:32:45,MONITOR,CPU Usage: 6.3%, RAM Usage: 71.3%
2025-10-23,22:32:45,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:32:51,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.4%
2025-10-23,22:32:51,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:32:57,MONITOR,CPU Usage: 6.0%, RAM Usage: 71.6%
2025-10-23,22:33:03,MONITOR,CPU Usage: 4.0%, RAM Usage: 71.4%
2025-10-23,22:33:09,MONITOR,CPU Usage: 13.9%, RAM Usage: 72.0%
2025-10-23,22:33:09,ALARM,!!! ALARM TRIGGERED !!! ID 1: WARNING!!! CPU usage is in very high level. (CPU is 100.0%, Threshold: 90%)
2025-10-23,22:33:15,MONITOR,CPU Usage: 14.5%, RAM Usage: 71.3%
2025-10-23,22:33:15,ALARM,--- ALARM RECOVERED --- ID 1: WARNING!!! CPU usage is in very high level. (CPU recovered to 0.0%)
2025-10-23,22:33:21,MONITOR,CPU Usage: 7.5%, RAM Usage: 71.4%
2025-10-23,22:33:27,MONITOR,CPU Usage: 6.0%, RAM Usage: 71.1%
2025-10-23,22:33:33,MONITOR,CPU Usage: 7.3%, RAM Usage: 71.7%
2025-10-23,22:33:39,MONITOR,CPU Usage: 8.5%, RAM Usage: 71.2%
2025-10-23,22:33:45,MONITOR,CPU Usage: 22.9%, RAM Usage: 71.5%
2025-10-23,22:33:51,MONITOR,CPU Usage: 13.0%, RAM Usage: 71.5%
2025-10-23,22:33:57,MONITOR,CPU Usage: 14.2%, RAM Usage: 71.4%
2025-10-23,22:34:03,MONITOR,CPU Usage: 19.5%, RAM Usage: 71.4%
2025-10-23,22:34:09,MONITOR,CPU Usage: 12.5%, RAM Usage: 71.2%
2025-10-23,22:34:15,MONITOR,CPU Usage: 12.0%, RAM Usage: 71.0%
2025-10-23,22:34:21,MONITOR,CPU Usage: 12.7%, RAM Usage: 71.1%
2025-10-23,22:34:27,MONITOR,CPU Usage: 5.5%, RAM Usage: 70.9%
2025-10-23,22:34:33,MONITOR,CPU Usage: 7.5%, RAM Usage: 71.0%
2025-10-23,22:34:39,MONITOR,CPU Usage: 8.3%, RAM Usage: 70.6%
2025-10-23,22:34:45,MONITOR,CPU Usage: 6.8%, RAM Usage: 72.1%
2025-10-23,22:34:51,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.9%
2025-10-23,22:34:57,MONITOR,CPU Usage: 45.2%, RAM Usage: 72.8%
2025-10-23,22:35:03,MONITOR,CPU Usage: 40.6%, RAM Usage: 72.4%
2025-10-23,22:35:09,MONITOR,CPU Usage: 40.4%, RAM Usage: 72.6%
2025-10-23,22:35:15,MONITOR,CPU Usage: 42.1%, RAM Usage: 72.9%
2025-10-23,22:35:21,MONITOR,CPU Usage: 38.8%, RAM Usage: 72.8%
2025-10-23,22:35:27,MONITOR,CPU Usage: 38.1%, RAM Usage: 72.2%
2025-10-23,22:35:33,MONITOR,CPU Usage: 45.0%, RAM Usage: 72.8%
2025-10-23,22:35:39,MONITOR,CPU Usage: 40.8%, RAM Usage: 72.6%
2025-10-23,22:35:45,MONITOR,CPU Usage: 42.5%, RAM Usage: 72.4%
2025-10-23,22:35:51,MONITOR,CPU Usage: 14.1%, RAM Usage: 71.7%
2025-10-23,22:35:57,MONITOR,CPU Usage: 7.5%, RAM Usage: 71.7%
2025-10-23,22:36:03,MONITOR,CPU Usage: 5.0%, RAM Usage: 71.1%
2025-10-23,22:36:09,MONITOR,CPU Usage: 4.3%, RAM Usage: 71.1%
2025-10-23,22:36:15,MONITOR,CPU Usage: 7.3%, RAM Usage: 71.0%
2025-10-23,22:36:21,MONITOR,CPU Usage: 4.0%, RAM Usage: 71.1%
2025-10-23,22:36:27,MONITOR,CPU Usage: 5.5%, RAM Usage: 71.1%
