2025-10-23,17:14:58,MONITOR,CPU Usage: 15.6%, RAM Usage: 74.8%
2025-10-23,17:15:04,MONITOR,CPU Usage: 19.3%, RAM Usage: 72.2%
2025-10-23,17:15:10,MONITOR,CPU Usage: 6.8%, RAM Usage: 72.7%
2025-10-23,17:15:16,MONITOR,CPU Usage: 40.5%, RAM Usage: 73.2%
2025-10-23,17:15:22,MONITOR,CPU Usage: 4.5%, RAM Usage: 73.4%
2025-10-23,17:15:28,MONITOR,CPU Usage: 5.6%, RAM Usage: 72.9%
2025-10-23,17:15:34,MONITOR,CPU Usage: 9.5%, RAM Usage: 73.3%
2025-10-23,17:15:40,MONITOR,CPU Usage: 41.4%, RAM Usage: 74.5%
2025-10-23,17:15:46,MONITOR,CPU Usage: 26.1%, RAM Usage: 74.4%
2025-10-23,17:15:52,MONITOR,CPU Usage: 4.5%, RAM Usage: 74.5%
2025-10-23,17:15:58,MONITOR,CPU Usage: 21.9%, RAM Usage: 76.0%
2025-10-23,17:16:04,MONITOR,CPU Usage: 77.5%, RAM Usage: 75.3%
2025-10-23,17:16:10,MONITOR,CPU Usage: 61.8%, RAM Usage: 77.3%
2025-10-23,17:16:16,MONITOR,CPU Usage: 39.6%, RAM Usage: 77.3%
2025-10-23,17:16:22,MONITOR,CPU Usage: 54.7%, RAM Usage: 75.0%
2025-10-23,17:16:28,MONITOR,CPU Usage: 49.1%, RAM Usage: 75.4%
2025-10-23,17:16:34,MONITOR,CPU Usage: 67.5%, RAM Usage: 77.5%
2025-10-23,17:16:40,MONITOR,CPU Usage: 65.5%, RAM Usage: 78.0%
2025-10-23,17:16:46,MONITOR,CPU Usage: 55.6%, RAM Usage: 76.5%
2025-10-23,17:16:52,MONITOR,CPU Usage: 35.5%, RAM Usage: 74.8%
2025-10-23,17:16:58,MONITOR,CPU Usage: 46.7%, RAM Usage: 75.4%
2025-10-23,17:17:04,MONITOR,CPU Usage: 48.4%, RAM Usage: 76.4%
2025-10-23,17:17:10,MONITOR,CPU Usage: 55.2%, RAM Usage: 77.2%
2025-10-23,17:17:16,MONITOR,CPU Usage: 47.4%, RAM Usage: 75.7%
2025-10-23,17:17:22,MONITOR,CPU Usage: 56.2%, RAM Usage: 76.7%
2025-10-23,17:17:28,MONITOR,CPU Usage: 36.4%, RAM Usage: 75.5%
2025-10-23,17:17:34,MONITOR,CPU Usage: 27.6%, RAM Usage: 75.3%
2025-10-23,17:17:40,MONITOR,CPU Usage: 37.1%, RAM Usage: 76.2%
2025-10-23,17:17:46,MONITOR,CPU Usage: 26.8%, RAM Usage: 75.7%
2025-10-23,17:17:52,MONITOR,CPU Usage: 37.3%, RAM Usage: 78.8%
2025-10-23,17:17:58,MONITOR,CPU Usage: 16.3%, RAM Usage: 74.9%
2025-10-23,17:18:04,MONITOR,CPU Usage: 23.9%, RAM Usage: 74.6%
2025-10-23,17:18:10,MONITOR,CPU Usage: 29.4%, RAM Usage: 77.2%
2025-10-23,17:18:16,MONITOR,CPU Usage: 8.0%, RAM Usage: 77.5%
2025-10-23,17:18:22,MONITOR,CPU Usage: 24.5%, RAM Usage: 76.4%
2025-10-23,17:18:28,MONITOR,CPU Usage: 36.4%, RAM Usage: 73.1%
2025-10-23,17:18:34,MONITOR,CPU Usage: 34.2%, RAM Usage: 71.4%
2025-10-23,17:18:40,MONITOR,CPU Usage: 20.6%, RAM Usage: 71.5%
2025-10-23,17:18:46,MONITOR,CPU Usage: 28.0%, RAM Usage: 73.2%
2025-10-23,17:18:52,MONITOR,CPU Usage: 25.8%, RAM Usage: 73.9%
2025-10-23,17:18:58,MONITOR,CPU Usage: 4.5%, RAM Usage: 74.0%
2025-10-23,17:19:04,MONITOR,CPU Usage: 10.0%, RAM Usage: 72.0%
2025-10-23,17:19:10,MONITOR,CPU Usage: 28.0%, RAM Usage: 73.1%
2025-10-23,17:19:16,MONITOR,CPU Usage: 4.7%, RAM Usage: 73.7%
2025-10-23,17:19:22,MONITOR,CPU Usage: 4.0%, RAM Usage: 73.8%
2025-10-23,17:19:28,MONITOR,CPU Usage: 10.2%, RAM Usage: 74.1%
2025-10-23,17:19:34,MONITOR,CPU Usage: 10.0%, RAM Usage: 74.1%
2025-10-23,17:19:40,MONITOR,CPU Usage: 4.3%, RAM Usage: 74.4%
2025-10-23,17:19:46,MONITOR,CPU Usage: 11.2%, RAM Usage: 72.9%
2025-10-23,17:19:52,MONITOR,CPU Usage: 22.3%, RAM Usage: 74.5%
2025-10-23,17:19:58,MONITOR,CPU Usage: 23.6%, RAM Usage: 75.2%
2025-10-23,17:20:04,MONITOR,CPU Usage: 10.3%, RAM Usage: 74.4%
2025-10-23,17:20:10,MONITOR,CPU Usage: 4.3%, RAM Usage: 75.0%
2025-10-23,17:20:16,MONITOR,CPU Usage: 33.0%, RAM Usage: 76.0%
2025-10-23,17:20:22,MONITOR,CPU Usage: 24.0%, RAM Usage: 75.6%
2025-10-23,17:20:28,MONITOR,CPU Usage: 5.5%, RAM Usage: 75.5%
2025-10-23,17:20:34,MONITOR,CPU Usage: 9.5%, RAM Usage: 75.7%
2025-10-23,17:20:40,MONITOR,CPU Usage: 4.8%, RAM Usage: 74.7%
2025-10-23,17:20:46,MONITOR,CPU Usage: 5.2%, RAM Usage: 74.7%
2025-10-23,17:20:52,MONITOR,CPU Usage: 24.4%, RAM Usage: 75.3%
2025-10-23,17:20:58,MONITOR,CPU Usage: 4.7%, RAM Usage: 75.1%
2025-10-23,17:21:04,MONITOR,CPU Usage: 4.5%, RAM Usage: 75.0%
2025-10-23,17:21:10,MONITOR,CPU Usage: 5.5%, RAM Usage: 75.3%
2025-10-23,17:21:16,MONITOR,CPU Usage: 4.2%, RAM Usage: 75.0%
2025-10-23,17:21:22,MONITOR,CPU Usage: 4.0%, RAM Usage: 75.2%
2025-10-23,17:21:28,MONITOR,CPU Usage: 9.2%, RAM Usage: 75.4%
